Id,Product_Name,Price,Material,Percentage_Material,Certification1,Certification2,Shop_Name,Category,Subcategory,Origin,Care_Instruction
1,Jacquard-knit merino wool jumper,€ 79.99,Wool,100, RWS,N/A,H&M,Woman,Jumper,China,Hand wash
2,Oversize Jumper,€ 24.99,Polyester,50,N/A,N/A,H&M,Woman,Jumper,China,Machine wash 30°C
2,Oversize Jumper,€ 24.99,Polyamide,29,N/A,N/A,H&M,Woman,Jumper,China,Machine wash 30°C
2,Oversize Jumper,€ 24.99,Acrylic,13,N/A,N/A,H&M,Woman,Jumper,China,Machine wash 30°C
2,Oversize Jumper,€ 24.99,Wool,5,N/A,N/A,H&M,Woman,Jumper,China,Machine wash 30°C
2,Oversize Jumper,€ 24.99,Elastane,3,N/A,N/A,H&M,Woman,Jumper,China,Machine wash 30°C
3,Soft Knit Jumper,€ 25.95,wool,7,RWS, RCS,Zara,Woman,Jumper,China,Machine wash 30°C
3,Soft Knit Jumper,€ 25.95,Recycled Polyester,39,RWS, RCS,Zara,Woman,Jumper,China,Machine wash 30°C
3,Soft Knit Jumper,€ 25.95,Recycled Acrylic,52,RWS, RCS,Zara,Woman,Jumper,China,Machine wash 30°C
3,Soft Knit Jumper,€ 25.95,Elastane,2,RWS, RCS,Zara,Woman,Jumper,China,Machine wash 30°C
4,Cashmere Oversize Sweater,€ 139.00,Cashmere,100,N/A,N/A,Zara,Woman,Jumper,Cambodia,Hand wash
5,Women's Recycled Wool-Blend Crewneck Sweater,€ 160.00,Recycled Wool,74,Fair Trade ,N/A,Patagonia,Woman,sweater,Vietnam,Hand wash
5,Women's Recycled Wool-Blend Crewneck Sweater,€ 160.00,Recycled Nylon,26,Fair Trade ,N/A,Patagonia,Woman,sweater,Vietnam,Hand wash
6,Women's Better Sweater™ 1/4-Zip Fleece,€ 130.00,Recycled Polyester,100,Bluesign,Fair Trade ,Patagonia,Woman's Knitwear,sweater,Thailand,Machine wash 30°C
7,Tshirt Textured,€ 9.13,Lyocell,13.5,N/A,N/A,H&M,Woman,Tshirt,Turkey,Machine wash 30°C
7,Tshirt Textured,€ 9.13,Cotton,86.5,N/A,N/A,H&M,Woman,Tshirt,Turkey,Machine wash 30°C
8,Jumper Regular Fit,€ 44.08,Cotton,100,Oeko-Tex 100,N/A,Zara,Woman,Jumper,Cambodia,Machine wash 30°C
9,Jacket Oversized,€ 62.23,Recycled Nylon,100,N/A,N/A,Zara,Woman,Jacket,Portugal,Machine wash 30°C
10,Sweater Cropped,€ 8.74,Recycled Polyester,100,N/A,N/A,Penneys,Man,Sweater,Cambodia,Machine wash 30°C
11,Sweater Cropped,€ 30.72,Recycled Cashmere,59.1,Oeko-Tex 100,N/A,H&M,Man,Sweater,Vietnam,Hand wash
11,Sweater Cropped,€ 30.72,Acrylic,40.9,Oeko-Tex 100,N/A,H&M,Man,Sweater,Vietnam,Hand wash
12,Jacket Oversized,€ 49.94,Recycled Polyester,100,Oeko-Tex 100,N/A,H&M,Man,Jacket,Turkey,Machine wash 30°C
13,Jumper Ribbed,€ 38.49,Recycled Acrylic,100,Oeko-Tex 100,N/A,Zara,Man,Jumper,Cambodia,Machine wash 30°C
14,Tshirt Cropped,€ 16.31,Viscose,100,N/A,N/A,Zara,Man,Tshirt,Bangladesh,Machine wash 30°C
15,Jacket Textured,€ 225.54,Acrylic,100,Fair Trade,Bluesign,Patagonia,Man,Jacket,Turkey,Machine wash 30°C
16,Jacket Oversized,€ 170.44,Cotton,100,Fair Trade,Bluesign,Patagonia,Woman,Jacket,Cambodia,Machine wash 30°C
17,Jumper Textured,€ 19.00,Elastane,100,Oeko-Tex 100,N/A,H&M,Man,Jumper,Bangladesh,Machine wash 30°C
18,Tshirt Textured,€ 18.27,Lyocell,100,N/A,N/A,H&M,Man,Tshirt,Portugal,Machine wash 30°C
19,Sweater Regular Fit,€ 34.05,Cashmere,50,RWS,N/A,H&M,Woman,Sweater,India,Hand wash
