Id,Brand,Product_Name,Price,Category,Subcategory,Certificate1,Certificate2,Certification_Total,Origin,Origin_Grid,Origin_Transport,Origin_Manufacturing,Care_Instruction,Care_CO2,Care_Energy,Care_Water,Weighted_CO2,Weighted_Water,Weighted_Energy,Weighted_Chemical,Mat_Acrylic,Mat_Cashmere,Mat_Cotton,Mat_Elastane,Mat_Lyocell,Mat_Merino Wool,Mat_Nylon,Mat_Organic Cotton,Mat_Polyamide,Mat_Polyester,Mat_Recycled Acrylic,Mat_Recycled Cashmere,Mat_Recycled Cotton,Mat_Recycled Nylon,Mat_Recycled Polyester,Mat_Recycled Wool,Mat_Viscose,Mat_Wool,Score_100
1,H&M,Jacquard-knit merino wool jumper,79.99,Woman,Jumper,RWS,NaN,0.15,China,0.65,0.4,0.6,Hand wash,0.015,0.2,8,14,800,160,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
2,H&M,Oversize Jumper,24.99,Woman,Jumper,NaN,NaN,0,China,0.65,0.4,0.6,Machine wash 30°C,0.04,0.5,15,6.5,70.4,86.8,26.3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,44
3,Zara,Soft Knit Jumper,25.95,Woman,Jumper,RWS,RCS,0.25,China,0.65,0.4,0.6,Machine wash 30°C,0.04,0.5,15,5.125,72.6,66.2,22.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,71
4,Zara,Cashmere Oversize Sweater,139.00,Woman,Jumper,NaN,NaN,0,Cambodia,0.55,0.45,0.75,Hand wash,0.015,0.2,8,30,700,200,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
5,Patagonia,Women's Recycled Wool-Blend Crewneck Sweater,160.00,Woman,sweater,Fair Trade,NaN,0.2,Vietnam,0.45,0.35,0.55,Hand wash,0.015,0.2,8,1.3,5.2,18.2,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100
6,Patagonia,Women's Better Sweater™ 1/4-Zip Fleece,130.00,Woman's Knitwear,sweater,Bluesign,Fair Trade,0.4,Thailand,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90
7,H&M,Tshirt Textured,9.13,Woman,Tshirt,NaN,NaN,0,Turkey,0.4,0.2,0.45,Machine wash 30°C,0.04,0.5,15,5.595,2362.5,53.65,36.625,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42
8,Zara,Jumper Regular Fit,44.08,Woman,Jumper,Oeko-Tex 100,NaN,0.1,Cambodia,0.55,0.45,0.75,Machine wash 30°C,0.04,0.5,15,6,2700,55,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
9,Zara,Jacket Oversized,62.23,Woman,Jacket,NaN,NaN,0,Portugal,0.25,0.1,0.3,Machine wash 30°C,0.04,0.5,15,5,20,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57
10,Penneys,Sweater Cropped,8.74,Man,Sweater,NaN,NaN,0,Cambodia,0.55,0.45,0.75,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46
11,H&M,Sweater Cropped,30.72,Man,Sweater,Oeko-Tex 100,NaN,0.1,Vietnam,0.45,0.35,0.55,Hand wash,0.015,0.2,8,5.409,100.92,74.54,25.225,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88
12,H&M,Jacket Oversized,49.94,Man,Jacket,Oeko-Tex 100,NaN,0.1,Turkey,0.4,0.2,0.45,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63
13,Zara,Jumper Ribbed,38.49,Man,Jumper,Oeko-Tex 100,NaN,0.1,Cambodia,0.55,0.45,0.75,Machine wash 30°C,0.04,0.5,15,3.5,15,55,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57
14,Zara,Tshirt Cropped,16.31,Man,Tshirt,NaN,NaN,0,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,5,400,60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43
15,Patagonia,Jacket Textured,225.54,Man,Jacket,Fair Trade,Bluesign,0.4,Turkey,0.4,0.2,0.45,Machine wash 30°C,0.04,0.5,15,6,30,110,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
16,Patagonia,Jacket Oversized,170.44,Woman,Jacket,Fair Trade,Bluesign,0.4,Cambodia,0.55,0.45,0.75,Machine wash 30°C,0.04,0.5,15,6,2700,55,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
17,H&M,Jumper Textured,19.00,Man,Jumper,Oeko-Tex 100,NaN,0.1,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,9,50,150,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
18,H&M,Tshirt Textured,18.27,Man,Tshirt,NaN,NaN,0,Portugal,0.25,0.1,0.3,Machine wash 30°C,0.04,0.5,15,3,200,45,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59
19,H&M,Sweater Regular Fit,34.05,Woman,Sweater,RWS,NaN,0.15,India,0.5,0.4,0.65,Hand wash,0.015,0.2,8,16.75,357.5,127.5,40,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80
20,H&M,Sweater Slim Fit,15.49,Man,Sweater,Oeko-Tex 100,NaN,0.1,India,0.5,0.4,0.65,Hand wash,0.015,0.2,8,5,150,50,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,89
21,H&M,Jacket Cropped,28.81,Woman,Jacket,NaN,NaN,0,Turkey,0.4,0.2,0.45,Machine wash 30°C,0.04,0.5,15,6,30,110,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
22,Patagonia,Jumper Regular Fit,213.29,Woman,Jumper,Fair Trade,Bluesign,0.4,India,0.5,0.4,0.65,Machine wash 30°C,0.04,0.5,15,3.5,15,55,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89
23,Patagonia,Tshirt Ribbed,45.11,Man,Tshirt,Fair Trade,Bluesign,0.4,China,0.65,0.4,0.6,Machine wash 30°C,0.04,0.5,15,3.2,1800,40,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82
24,H&M,Tshirt Textured,14.47,Woman,Tshirt,NaN,NaN,0,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,6.5285,64.81,87.23,27.675,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,43
