Price,Certification_Total,Origin_Grid,Origin_Transport,Origin_Manufacturing,Weighted_CO2,Weighted_Water,Weighted_Energy,Weighted_Chemical,Mat_Acrylic,Mat_Cashmere,Mat_Cotton,Mat_Elastane,Mat_Lyocell,Mat_Merino Wool,Mat_Nylon,Mat_Organic Cotton,Mat_Polyamide,Mat_Polyester,Mat_Recycled Acrylic,Mat_Recycled Cashmere,Mat_Recycled Cotton,Mat_Recycled Nylon,Mat_Recycled Polyester,Mat_Recycled Wool,Mat_Viscose,Mat_Wool,Brand_Patagonia,Brand_Penneys,Brand_Zara,Category_Woman,Category_Woman's Knitwear,Subcategory_Jumper,Subcategory_Sweater,Subcategory_Tshirt,Subcategory_sweater
79.99,0.15,0.65,0.4,0.6,14.0,800.0,160.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,True,False,True,False,False,False
24.99,0.0,0.65,0.4,0.6,6.5,70.4,86.8,26.3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,False,False,False,True,False,True,False,False,False
25.95,0.25,0.65,0.4,0.6,5.125,72.6,66.2,22.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,False,False,True,True,False,True,False,False,False
139.0,0.0,0.55,0.45,0.75,30.0,700.0,200.0,60.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,True,False,False,False
160.0,0.2,0.45,0.35,0.55,1.3,5.2,18.2,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,True,False,False,True,False,False,False,False,True
130.0,0.4,0.45,0.35,0.55,5.5,20.0,60.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,True,False,False,False,True
9.13,0.0,0.4,0.2,0.45,5.595,2362.5,53.65,36.625,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,True,False
44.08,0.1,0.55,0.45,0.75,6.0,2700.0,55.0,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,True,False,False,False
62.23,0.0,0.25,0.1,0.3,5.0,20.0,70.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False,False,False
8.74,0.0,0.55,0.45,0.75,5.5,20.0,60.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,True,False,False
30.72,0.1,0.45,0.35,0.55,5.409,100.92,74.54,25.225,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
49.94,0.1,0.4,0.2,0.45,5.5,20.0,60.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False
38.49,0.1,0.55,0.45,0.75,3.5,15.0,55.0,20.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False
16.31,0.0,0.55,0.45,0.7,5.0,400.0,60.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,True,False,False,False,False,True,False
225.54,0.4,0.4,0.2,0.45,6.0,30.0,110.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
170.44,0.4,0.55,0.45,0.75,6.0,2700.0,55.0,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,False
19.0,0.1,0.55,0.45,0.7,9.0,50.0,150.0,45.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
18.27,0.0,0.25,0.1,0.3,3.0,200.0,45.0,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
34.05,0.15,0.5,0.4,0.65,16.75,357.5,127.5,40.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False
15.49,0.1,0.5,0.4,0.65,5.0,150.0,50.0,15.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
28.81,0.0,0.4,0.2,0.45,6.0,30.0,110.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
213.29,0.4,0.5,0.4,0.65,3.5,15.0,55.0,20.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,False,False,True,False,True,False,False,False
45.11,0.4,0.65,0.4,0.6,3.2,1800.0,40.0,20.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False
14.47,0.0,0.55,0.45,0.7,6.5285,64.81,87.23,27.675,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,False,False,False,True,False,False,False,True,False
119.85,0.4,0.45,0.35,0.55,3.7174,1369.05,43.11,18.817,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
29.01,0.0,0.55,0.45,0.7,14.0,800.0,160.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,True,False,False,False,False,False
4.72,0.0,0.4,0.2,0.45,5.5,20.0,60.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,True,False
238.49,0.2,0.55,0.45,0.75,3.2,1800.0,40.0,20.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
25.16,0.0,0.45,0.35,0.55,27.109,619.76,183.48,55.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,True,False,False,False
217.77,0.4,0.3,0.1,0.35,3.2,1800.0,40.0,20.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False
144.51,0.4,0.55,0.45,0.75,3.5,15.0,55.0,20.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,False,False,True,False,True,False,False,False
244.12,0.4,0.4,0.2,0.45,16.0,900.0,170.0,48.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,True,False,False,False
115.33,0.2,0.65,0.4,0.6,5.0,20.0,70.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False,False,False
20.18,0.0,0.5,0.4,0.65,6.0,30.0,110.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,True,False,False,False
240.36,0.2,0.45,0.35,0.55,9.0,50.0,150.0,45.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,True,False,False
21.63,0.15,0.55,0.45,0.7,12.336,1472.46,107.69,45.28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
