Id,Brand,Product_Name,Price,Category,Subcategory,Score_100,S_final,S_env,Score_env_burden,Certification_Total,Material_CO2_norm,Material_Water_norm,Material_Energy_norm,Material_Chemical_norm,Care_CO2_norm,Care_Water_norm,Care_Energy_norm,Origin_Grid_norm,Origin_Transport_norm,Origin_Manufacturing_norm
1,H&M,Jacquard-knit merino wool jumper,€ 79.99,Woman,Jumper,76.0,0.7603724566137965,0.6103724566137965,0.3896275433862036,0.15,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.65,0.4,0.6
2,H&M,Oversize Jumper,€ 24.99,Woman,Jumper,44.0,0.4376465787448566,0.4376465787448566,0.5623534212551434,0.0,0.18118466898954705,0.02419474543565385,0.37733773377337726,0.3908170643528561,1.0,1.0,1.0,0.65,0.4,0.6
3,Zara,Soft Knit Jumper,€ 25.95,Woman,Jumper,71.0,0.7110080551278762,0.46100805512787624,0.5389919448721238,0.25,0.13327526132404183,0.02501113255158082,0.264026402640264,0.31760665220535067,1.0,1.0,1.0,0.65,0.4,0.6
4,Zara,Cashmere Oversize Sweater,€ 139.00,Woman,Jumper,50.0,0.4992170105388155,0.4992170105388155,0.5007829894611845,0.0,1.0,0.257829894611845,1.0,1.0,0.0,0.0,0.0,0.55,0.45,0.75
5,Patagonia,Women's Recycled Wool-Blend Crewneck Sweater,€ 160.00,Woman,Sweater,100.0,1.0,0.865,0.135,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.35,0.55
6,Patagonia,Women's Better Sweater™ 1/4-Zip Fleece,€ 130.00,Woman,Sweater,90.0,0.8991309284493972,0.4991309284493972,0.5008690715506028,0.4,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.45,0.35,0.55
7,H&M,Tshirt Textured,€ 9.13,Woman,Tshirt,42.0,0.41531367141734965,0.41531367141734965,0.5846863285826503,0.0,0.14965156794425089,0.8747587947157489,0.19499449944994499,0.5774584237165582,1.0,1.0,1.0,0.4,0.2,0.45
8,Zara,Jumper Regular Fit,€ 44.08,Woman,Jumper,42.0,0.4245349591267561,0.3245349591267561,0.6754650408732439,0.1,0.1637630662020906,1.0,0.2024202420242024,0.6384671005061461,1.0,1.0,1.0,0.55,0.45,0.75
9,Zara,Jacket Oversized,€ 62.23,Woman,Jacket,57.0,0.5689878676680759,0.5689878676680759,0.43101213233192415,0.0,0.1289198606271777,0.005492058779872347,0.2849284928492849,0.24078091106290672,1.0,1.0,1.0,0.25,0.1,0.3
10,Penneys,Sweater Cropped,€ 8.74,Man,Sweater,46.0,0.4591309284493972,0.4591309284493972,0.5408690715506028,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75
